@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute vecino-tiene numeric {0,1}
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
1,1,0.25,0.20512820512820512
1,0,0.25,0.29878048780487804
1,1,0.2,0.15789473684210525
1,0,0.25,0.2608695652173913
1,1,0.2,0.13333333333333333
1,0,0.25,0.37209302325581395
1,1,0.2,0.12080536912751678
1,0,0.25,0.2608695652173913
1,1,0.2,0.16993464052287582
1,0,0.25,0.2822085889570552
1,0,0.25,0.20512820512820512
1,1,0.2,0.22784810126582278
1,0,0.25,0.4530386740331492
1,1,0.2,0.18181818181818182
1,0,0.25,0.2389937106918239
