1	1	'0.2948717948717948'	'0.25'	'0.16666666666666666'
0	0	0.0	'0.5'	0.0
1	1	'0.2808333333333333'	'0.25'	'0.13157894736842105'
0	0	0.0	'0.5'	0.0
1	1	'0.28703703703703703'	'0.25'	'0.12'
0	0	0.0	'0.5'	0.0
1	1	'0.2729166666666667'	'0.25'	'0.10738255033557047'
0	0	0.0	'0.5'	0.0
1	0	'0.2777777777777778'	'0.3333333333333333'	'0.1568627450980392'
0	0	0.0	'0.5'	0.0
0	0	0.0	0.0	0.0
1	1	'0.28431372549019607'	'0.25'	'0.21518987341772153'
0	0	0.0	0.0	0.0
1	1	'0.28124999999999994'	'0.5'	'0.15584415584415584'
0	0	0.0	0.0	0.0
